District,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
WEST VALLEY TRANSPORTATION AGENCY JPA,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,0,0,0,0,0,0,3225,0,0,0,0,0,0,0,0,0,0,27,0
MORGAN HILL UNIFIED SCH DIST,131285,5720,798,1827,221,0,52,142,1360,1541,0,0,0,0,29475,13873,49,21,589,0,0,17,200,0,0,12075,0,0,2651,0,96090,0,75389,0,0,0,546,0,12212,14,187,542,0,0,131,179,294,0,2802,0
BONNY DOON UNION ELEMENTARY,2384,52,13,17,3,0,0,0,22,0,0,0,0,0,467,159,1,0,12,0,0,0,0,0,0,237,0,0,58,0,1865,0,1654,0,0,0,0,21,0,0,8,0,0,0,0,0,10,0,41,0
HAPPY VAL ELEM SCH DIST,1598,27,0,13,2,0,0,0,14,0,0,0,0,0,309,102,1,0,7,0,0,0,0,0,0,157,0,0,42,0,1262,0,995,0,0,0,57,45,0,0,0,0,0,0,0,1,0,0,27,0
LIVE OAK ELEM SCH DIST,30749,2070,340,459,46,0,0,72,268,931,0,0,0,0,16420,11492,14,0,115,0,0,0,49,0,0,4018,0,0,732,0,12259,0,3834,0,0,0,728,168,5696,0,0,153,0,0,0,121,130,0,133,0
MOUNTAIN ELEM SCH DIST,1986,29,0,22,1,0,0,0,7,0,0,0,0,0,622,371,1,0,10,0,0,0,0,0,0,189,0,0,51,0,1335,0,1074,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,57,0
PACIFIC ELEM SCH DIST,1837,67,0,25,1,0,0,0,18,24,0,0,0,0,1081,775,1,0,8,0,0,0,52,0,0,208,0,0,37,0,689,0,330,0,0,0,0,60,2,0,0,48,0,0,0,10,2,0,30,0
SAN LORENZO VAL UNIF SCH DIST,46675,1364,257,793,50,0,13,5,55,241,0,0,0,0,18954,14846,17,0,183,0,0,0,18,0,0,3014,0,0,876,0,26357,0,23411,0,0,0,500,0,0,0,0,320,0,0,0,765,215,0,301,0
SANTA CRUZ CITY SCHOOL DISTRICT,116899,4087,1219,1712,184,0,73,123,9,951,0,0,0,0,25071,14475,41,0,427,0,0,6,75,0,0,10047,0,0,0,0,87741,0,63510,0,0,0,6675,0,11971,0,0,522,0,0,0,19,228,0,1412,0
SANTA CRUZ CITY HIGH SCHOOL DISTRICT,1819,22,0,22,0,0,0,0,0,0,0,0,0,0,664,418,0,0,7,0,0,0,0,0,0,201,0,0,38,0,1133,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0
SCOTTS VALLEY UNIFIED SCHOOL DISTRICT,31643,879,92,516,36,0,0,11,46,214,0,0,0,0,10889,5639,10,0,172,0,0,0,0,0,0,4469,0,0,599,0,19875,0,16419,0,0,0,0,56,1594,0,0,290,0,0,0,0,22,0,248,0
SOQUEL UNION ELEM SCH DIST,26078,915,247,309,42,0,0,11,99,249,0,0,0,0,6720,3464,10,0,136,0,0,0,20,0,0,2505,0,0,585,0,18443,0,12552,0,0,0,0,417,3789,0,0,182,0,0,0,5,58,54,560,0
NORTH SANTA CRUZ COUNTY SELPA,419,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,13,0
PAJARO VALLEY UNIFIED SCHOOL DIST,309179,29122,9009,4908,640,0,155,854,4411,9610,0,0,0,175,184585,126783,209,12064,1512,0,0,20,689,0,0,36128,0,0,7180,0,95472,0,83458,0,0,0,0,0,4331,669,120,568,0,0,0,289,0,0,2157,0
ANDERSON UNION HIGH SCHOOL DIST,25070,1578,621,426,132,0,54,0,12,421,0,0,17,27,14105,10397,11,0,120,0,0,32,34,578,0,2387,0,0,546,0,9387,0,6857,0,0,0,0,852,367,0,0,324,0,0,0,0,20,0,202,0
BELLA VISTA ELEM SCH DT,4619,326,70,74,10,0,0,0,45,132,0,0,0,5,2924,2335,3,0,25,0,0,0,10,0,0,446,0,0,105,0,1369,0,993,0,0,0,0,246,0,0,0,34,0,0,0,0,0,0,21,0
CASCADE UNION ELEM SCH DIST,17473,1839,698,271,84,0,0,14,38,792,0,0,0,26,10708,8353,15,0,74,0,0,0,61,0,0,1824,0,0,381,0,4926,0,3298,0,0,0,0,678,231,0,0,2,0,0,0,46,1,0,130,0
CASTLE ROCK UNION SCHOOL DIST,1036,86,30,0,2,0,0,0,20,31,0,0,0,5,685,580,2,0,5,0,0,0,9,0,0,66,0,0,23,0,265,0,155,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,10,0
COLUMBIA ELEM SCH DIST,11446,471,137,154,26,0,0,0,15,160,0,0,0,5,6361,4995,9,0,54,0,0,0,11,0,0,1030,0,0,262,0,4614,0,3279,0,0,0,0,0,120,0,0,89,0,0,0,507,6,0,59,0
COTTONWOOD UNION ELEM SCH DIST,12126,798,319,188,31,0,0,0,7,272,0,0,0,12,8407,6518,8,0,66,0,0,0,19,0,0,1526,0,0,270,0,2921,0,2433,0,0,0,0,180,0,0,0,97,0,0,0,0,0,0,78,0
ENTERPRISE ELEM SCH DIST,54804,4159,1050,802,257,0,0,40,58,2174,0,0,0,35,37590,29201,47,0,266,0,0,0,156,0,0,6574,0,0,1346,0,13055,0,7709,0,0,0,0,2376,1572,0,0,268,0,0,0,2,0,0,241,0
FALL RIVER JT UNIFIED SCH DIST,17229,1023,220,279,38,0,8,0,48,353,0,0,36,79,10682,8295,14,0,82,0,0,10,27,0,0,1793,0,0,461,0,5524,0,4642,0,0,0,0,583,0,0,0,61,0,0,0,7,4,0,91,0
FRENCH GULCH-WHISKEYTOWN ELEM SCH DIST,592,78,0,0,1,0,0,0,15,12,0,48,0,3,352,306,1,0,2,0,0,0,1,0,0,31,0,0,11,0,162,0,99,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,12,0
GRANT ELEM SCH DIST,7733,229,49,102,9,0,0,0,8,67,0,0,0,3,5498,4431,4,0,46,0,0,0,4,0,0,826,0,0,187,0,2006,0,1109,0,0,0,0,295,0,0,0,108,0,0,0,153,0,0,34,0
IGO-ONO-PLANTINA UNION ELEM SCHOOL DIST,906,114,38,0,4,0,0,0,19,51,0,0,0,6,323,265,1,0,3,0,0,0,3,0,0,37,0,0,14,0,469,0,397,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,13,0
INDIAN SPRINGS ELEM SCH DIST,654,31,0,0,1,0,0,0,15,13,0,0,0,3,146,98,1,0,1,0,0,0,1,0,0,32,0,0,13,0,477,0,427,0,0,0,0,8,0,0,0,2,0,0,0,0,3,0,7,0
JUNCTION ELEM SCH DIST,4114,163,51,63,10,0,0,0,41,0,0,0,0,8,1745,1314,2,0,22,0,0,0,0,0,0,318,0,0,89,0,2206,0,1488,0,0,0,0,301,105,0,0,0,0,0,0,0,0,0,33,0
MILLVILLE ELEM SCH DIST,2989,167,43,43,6,0,0,0,29,49,0,0,0,3,1971,1591,3,0,19,0,0,0,4,0,0,284,0,0,70,0,851,0,612,0,0,0,0,108,0,0,0,24,0,0,0,29,0,0,19,0
NORTH COW CREEK ELEM SCH DIST,2881,107,27,42,4,0,0,0,35,0,0,0,0,3,2065,1674,2,0,18,0,0,0,0,0,0,303,0,0,68,0,709,0,480,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,9,0
HAPPY VALLEY UNION SCH DIST,7075,618,186,108,16,0,0,0,34,282,0,0,0,8,4966,4165,4,0,35,0,0,0,20,0,0,586,0,0,156,0,1491,0,1084,0,0,0,0,257,0,0,0,0,0,0,0,0,35,0,35,0
PACHECO UNION ELEM SCH DIST,8307,358,183,127,28,0,0,0,36,0,0,0,0,12,4207,3234,6,0,46,0,0,0,0,0,0,733,0,0,188,0,3742,0,2703,0,0,0,0,528,255,0,0,0,0,0,0,0,10,0,43,0
REDDING ELEM SCH DIST,44274,3323,904,683,128,0,0,0,54,1647,0,0,0,35,27667,21279,30,0,229,0,0,0,91,0,0,4997,0,0,1041,0,13284,0,8309,0,0,0,0,2345,1169,0,0,170,0,0,0,0,50,0,252,0
SHASTA UNION HIGH SCHOOL DIST,78143,3129,1014,987,176,0,119,0,54,744,0,0,117,94,41273,31039,34,0,344,0,0,18,56,0,0,7942,0,0,1840,0,33741,0,24426,0,0,0,0,2606,2348,1,0,454,0,0,0,5,61,0,710,0
GATEWAY UNIFIED SCHOOL DISTRICT,40493,3394,1216,785,170,0,33,0,220,999,0,0,44,97,17868,11811,30,0,202,0,0,17,75,0,0,4815,0,0,918,0,19231,0,13658,0,0,0,0,1373,2552,0,0,120,0,0,0,17,82,142,199,0
SHASTA UNION ELEM SCH DIST,3711,161,34,28,6,0,0,0,36,53,0,0,0,10,816,596,1,0,9,0,0,0,1,0,0,176,0,0,33,0,2734,0,700,0,0,0,0,74,0,0,0,1,0,0,0,0,0,1774,14,0
WHITMORE UNION ELEM SCH DIST,1068,96,34,35,4,0,0,0,13,8,0,0,0,6,632,427,1,0,3,0,0,0,1,0,0,181,0,0,19,0,340,0,294,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,5,0
SHASTA-TRINITY ROP JPA,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,1034,0,0,0,0,0,0,944,0,0,0,27,0,0,0,0,0,0,30,0
BLACK BUTTE UNION SCH DIST,3195,386,163,48,13,0,0,0,15,156,0,0,0,4,1123,843,3,0,15,0,0,0,12,0,0,179,0,0,71,0,1686,0,1461,0,0,0,0,123,0,0,0,2,0,0,0,1,0,0,20,0
OAK RUN ELEM SCHOOL DIST,1005,68,26,0,2,0,0,0,25,14,0,0,0,3,587,432,1,0,4,0,0,0,1,0,0,129,0,0,20,0,350,0,209,0,0,0,0,37,0,0,0,5,0,0,0,0,0,0,5,0
MOUNTAIN UNION ELEM SCH DIST,1394,126,31,0,4,0,0,0,29,57,0,0,0,9,472,353,2,0,5,0,0,0,4,0,0,79,0,0,29,0,796,0,679,0,0,0,0,57,0,0,0,11,0,0,0,0,1,0,28,0
